consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action_2.keys,click_action_2.corr,click_action_2.rt,action_selection_two.thisRepN,action_selection_two.thisTrialN,action_selection_two.thisN,action_selection_two.thisIndex,action_selection_two.ran,resp4.keys,resp4_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,action2,resp4.rt,resp4_4.rt,key_resp_3.keys,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,key_resp_34.keys,key_resp_34.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.56,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,424,424,424,1,train.png,tree.png,planet.png,2,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.323,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.264,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,425,425,425,1,apple.png,fox.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.301,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.454,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,426,426,426,1,houses.png,watch.png,trident.png,3,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.191,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.279,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,427,427,427,1,houses.png,watch.png,trident.png,3,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.258,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.361,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,428,428,428,1,compass.png,tree.png,bell.png,4,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.398,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.666,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,429,429,429,1,snorkel.png,watch.png,trident.png,1,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.32,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.498,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,430,430,430,1,snorkel.png,tree.png,planet.png,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.367,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.377,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,431,431,431,1,houses.png,watch.png,trident.png,3,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.268,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.302,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,432,432,432,1,apple.png,fox.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.265,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.562,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,433,433,433,1,train.png,tree.png,planet.png,2,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.236,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.321,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,434,434,434,1,compass.png,watch.png,trident.png,4,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.317,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.271,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,435,435,435,1,hammer.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.256,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.399,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,436,436,436,1,train.png,tree.png,planet.png,2,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.203,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.35,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,437,437,437,1,train.png,tree.png,planet.png,2,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.299,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.429,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,438,438,438,1,snorkel.png,tree.png,planet.png,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.23,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.445,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,439,439,439,1,houses.png,tree.png,bell.png,3,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.22,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.272,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,440,440,440,1,apple.png,fox.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.239,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.334,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,441,441,441,1,hammer.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.317,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.501,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,442,442,442,1,train.png,watch.png,trident.png,2,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5febf3346a3657d4aca47a2f,001,2023-08-10_16h40.42.878,study6,2022.2.5,Linux x86_64,29.97601918,5febf3346a3657d4aca47a2f,64d50a22f9b00649b6349510,64d54ac8e57dc487e3b61823,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.334,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
